MIP - Integer optimal solution:  Objective = 3.4000000000e+001
Solution time =    0.14 sec.  Iterations = 0  Nodes = 0
Deterministic time = 19.89 ticks  (141.07 ticks/sec)

Incumbent solution
Variable Name           Solution Value
X_01_02_01_02                 1.000000
X_01_03_01_03                 1.000000
X_01_04_01_03                 1.000000
X_01_04_03_04                 1.000000
X_01_05_01_03                 1.000000
X_01_05_03_04                 1.000000
X_01_05_04_05                 1.000000
X_02_01_02_01                 1.000000
X_02_03_02_03                 1.000000
X_02_04_02_03                 1.000000
X_02_04_03_04                 1.000000
X_02_05_02_03                 1.000000
X_02_05_03_04                 1.000000
X_02_05_04_05                 1.000000
X_03_01_03_01                 1.000000
X_03_02_03_02                 1.000000
X_03_04_03_04                 1.000000
X_03_05_03_04                 1.000000
X_03_05_04_05                 1.000000
X_04_01_03_01                 1.000000
X_04_01_04_03                 1.000000
X_04_02_03_02                 1.000000
X_04_02_04_03                 1.000000
X_04_03_04_03                 1.000000
X_04_05_04_05                 1.000000
X_05_01_03_01                 1.000000
X_05_01_04_03                 1.000000
X_05_01_05_04                 1.000000
X_05_02_03_02                 1.000000
X_05_02_04_03                 1.000000
X_05_02_05_04                 1.000000
X_05_03_04_03                 1.000000
X_05_03_05_04                 1.000000
X_05_04_05_04                 1.000000
C_WCX_01                     14.000000
C_WCX_02                     14.000000
C_WCX_03                     10.000000
C_WCX_04                     12.000000
C_WCX_05                     18.000000
ARCFLOW01_02                  1.000000
ARCFLOW01_03                  3.000000
ARCFLOW02_01                  1.000000
ARCFLOW02_03                  3.000000
ARCFLOW03_01                  3.000000
ARCFLOW03_02                  3.000000
ARCFLOW03_04                  6.000000
ARCFLOW04_03                  6.000000
ARCFLOW04_05                  4.000000
ARCFLOW05_04                  4.000000
C_NODEFLOW_01                 8.000000
C_NODEFLOW_02                 8.000000
C_NODEFLOW_03                24.000000
C_NODEFLOW_04                20.000000
C_NODEFLOW_05                 8.000000
All other variables in the range 1-220 are 0.
